mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58765.42	18.91	0.03	7.38e-17	1.84e-18
58766.13	12.13	nan	3.82e-14	nan
58767.13	12.06	nan	4.07e-14	nan
58768.13	12.15	nan	3.74e-14	nan
58768.19	18.58	0.10	1.00e-16	9.36e-18
58769.13	12.15	nan	3.75e-14	nan
58770.14	12.20	nan	3.57e-14	nan
58771.14	12.14	nan	3.76e-14	nan
58772.14	12.17	nan	3.68e-14	nan
58772.36	19.45	nan	4.49e-17	nan
58773.14	11.93	nan	4.58e-14	nan
58773.27	11.52	nan	6.71e-14	nan
58773.27	11.16	nan	9.32e-14	nan
58773.27	18.75	nan	8.59e-17	nan
58774.14	12.21	nan	3.54e-14	nan
58774.24	12.40	nan	2.97e-14	nan
58774.24	18.80	0.07	8.14e-17	5.00e-18
58774.24	12.40	nan	2.98e-14	nan
58774.24	18.96	0.08	7.07e-17	4.94e-18
58775.14	12.18	nan	3.63e-14	nan
58775.19	18.93	0.04	7.28e-17	2.62e-18
58775.29	12.41	nan	2.94e-14	nan
58775.29	18.89	0.03	7.52e-17	1.98e-18
58775.29	12.42	nan	2.92e-14	nan
58775.29	18.94	0.03	7.16e-17	2.08e-18
58776.14	12.22	nan	3.52e-14	nan
58776.29	18.84	0.04	7.90e-17	2.75e-18
58776.29	12.40	nan	2.96e-14	nan
58776.29	18.88	0.04	7.57e-17	3.06e-18
58776.29	12.41	nan	2.95e-14	nan
58777.14	12.22	nan	3.51e-14	nan
58777.30	18.81	0.04	8.08e-17	3.31e-18
58777.30	12.41	nan	2.93e-14	nan
58777.30	12.41	nan	2.94e-14	nan
58777.30	18.94	0.05	7.18e-17	3.46e-18
58778.14	12.21	nan	3.54e-14	nan
58778.19	12.27	nan	3.34e-14	nan
58778.19	18.87	0.04	7.68e-17	3.03e-18
58778.20	12.27	nan	3.34e-14	nan
58778.20	18.81	0.04	8.11e-17	2.77e-18
58778.20	12.28	nan	3.32e-14	nan
58778.20	18.84	0.05	7.87e-17	3.29e-18
58778.20	12.28	nan	3.31e-14	nan
58778.20	18.83	0.05	7.97e-17	3.31e-18
58778.20	18.83	0.05	7.93e-17	3.40e-18
58778.21	12.28	nan	3.33e-14	nan
58778.29	18.86	0.06	7.76e-17	4.06e-18
58778.29	12.30	nan	3.25e-14	nan
58778.29	18.85	0.05	7.82e-17	3.49e-18
58778.29	12.30	nan	3.25e-14	nan
58778.29	18.86	0.05	7.73e-17	3.64e-18
58778.29	12.30	nan	3.26e-14	nan
58778.34	18.88	0.04	7.59e-17	2.90e-18
58778.34	12.30	nan	3.24e-14	nan
58778.34	18.92	0.04	7.32e-17	2.99e-18
58778.34	12.30	nan	3.26e-14	nan
58778.34	12.30	nan	3.26e-14	nan
58778.34	18.77	0.05	8.41e-17	4.05e-18
58778.34	18.65	0.05	9.42e-17	4.77e-18
58778.34	12.30	nan	3.27e-14	nan
58778.35	18.87	0.07	7.70e-17	4.82e-18
58778.35	12.30	nan	3.27e-14	nan
58778.35	18.78	0.06	8.30e-17	4.73e-18
58778.35	12.29	nan	3.28e-14	nan
58778.35	12.30	nan	3.27e-14	nan
58778.35	18.91	0.06	7.39e-17	4.37e-18
58778.35	12.30	nan	3.26e-14	nan
58778.35	18.75	0.06	8.56e-17	4.38e-18
58778.36	12.29	nan	3.27e-14	nan
58778.36	18.94	0.06	7.22e-17	3.67e-18
58778.36	12.30	nan	3.25e-14	nan
58778.36	18.98	0.05	6.92e-17	3.27e-18
58778.36	12.30	nan	3.26e-14	nan
58778.36	18.79	0.05	8.26e-17	3.90e-18
58778.37	12.29	nan	3.28e-14	nan
58778.37	18.84	0.05	7.87e-17	3.89e-18
58778.37	12.30	nan	3.26e-14	nan
58778.37	18.97	0.06	6.99e-17	3.80e-18
58778.37	12.29	nan	3.28e-14	nan
58778.37	18.77	0.06	8.40e-17	4.84e-18
58778.42	12.28	nan	3.32e-14	nan
58778.42	18.80	0.05	8.18e-17	4.09e-18
58778.42	18.84	0.06	7.89e-17	4.50e-18
58778.42	12.27	nan	3.36e-14	nan
58778.42	12.26	nan	3.37e-14	nan
58778.43	18.89	0.07	7.55e-17	5.12e-18
58778.43	12.27	nan	3.35e-14	nan
58778.43	18.78	0.06	8.34e-17	4.50e-18
58778.43	12.26	nan	3.37e-14	nan
58778.43	18.78	0.07	8.32e-17	5.52e-18
58778.43	18.73	0.07	8.68e-17	5.83e-18
58778.43	12.26	nan	3.37e-14	nan
58778.43	12.26	nan	3.38e-14	nan
58778.44	18.76	0.07	8.47e-17	5.21e-18
58778.44	18.89	0.07	7.51e-17	4.73e-18
58778.44	12.26	nan	3.39e-14	nan
58778.44	18.85	0.07	7.78e-17	4.90e-18
58778.44	12.25	nan	3.42e-14	nan
58778.44	18.93	0.08	7.24e-17	5.30e-18
58778.44	12.26	nan	3.38e-14	nan
58778.45	12.25	nan	3.41e-14	nan
58778.45	18.82	0.06	8.05e-17	4.63e-18
58778.45	12.24	nan	3.43e-14	nan
58778.45	18.88	0.07	7.61e-17	4.56e-18
58778.45	18.89	0.07	7.56e-17	4.69e-18
58778.45	12.24	nan	3.43e-14	nan
58778.45	12.24	nan	3.45e-14	nan
58778.46	18.74	0.07	8.62e-17	5.61e-18
58779.19	12.29	nan	3.29e-14	nan
58779.19	18.94	0.04	7.18e-17	2.62e-18
58779.20	12.29	nan	3.29e-14	nan
58779.20	18.91	0.04	7.42e-17	3.03e-18
58779.20	12.31	nan	3.23e-14	nan
58779.20	18.93	0.05	7.28e-17	3.04e-18
58779.20	12.30	nan	3.27e-14	nan
58779.20	18.90	0.05	7.46e-17	3.30e-18
58779.20	18.91	0.05	7.40e-17	3.38e-18
58779.21	12.30	nan	3.26e-14	nan
58779.23	18.82	0.03	8.06e-17	2.29e-18
58779.23	12.40	nan	2.97e-14	nan
58779.23	18.98	0.03	6.95e-17	1.96e-18
58779.23	12.40	nan	2.97e-14	nan
58779.25	18.90	0.04	7.43e-17	2.53e-18
58779.25	12.31	nan	3.22e-14	nan
58779.25	18.81	0.04	8.09e-17	2.83e-18
58779.26	12.32	nan	3.19e-14	nan
58779.26	18.92	0.04	7.33e-17	2.49e-18
58779.26	12.32	nan	3.19e-14	nan
58779.26	18.82	0.04	8.00e-17	2.70e-18
58779.26	12.33	nan	3.16e-14	nan
58779.26	12.31	nan	3.23e-14	nan
58779.26	18.92	0.04	7.29e-17	2.66e-18
58779.27	12.33	nan	3.15e-14	nan
58779.27	18.91	0.04	7.38e-17	2.49e-18
